X,Y,Measurement
-9999.9,QA,-30.1
-9999.9,QA,-34.5
-9999.9,QA,-22.5
-9999.9,QA,-26.1
-9999.9,QA,-31.8
-9999.9,QA,-26.3
-9999.9,QA,-26.7
-9999.9,QA,-23.8
-9999.9,QA,-23.0
-9999.9,QA,-20.6
-9999.9,QA,-21.8
-9999.9,QA,-19.3
-9999.9,QA,-19.3
-9999.9,QA,-22.7
-9999.9,QA,-18.8
-9999.9,QA,-21.8
-9999.9,QA,-17.3
-9999.9,QA,-13.6
-9999.9,QA,-15.1
-9999.9,QA,-10.3
-9999.9,QA,-7.7
-9999.9,QA,-8.9
-9999.9,QA,-7.9
-9999.9,QA,-1.4
-9999.9,QA,-3.2
-9999.9,QA,1.4
-9999.9,QA,1.2
-9999.9,QA,3.2
-9999.9,QA,-1.4
-9999.9,QA,-4.2
-9999.9,QA,0.5
-9999.9,QA,9.3
-9999.9,QA,6.3
-9999.9,QA,5.6
-9999.9,QA,-0.2
-9999.9,QA,-0.2
-9999.9,QA,7.6
-9999.9,QA,9.8
-9999.9,QA,7.0
-9999.9,QA,11.9
-9999.9,QA,9.7
-9999.9,QA,15.5
-9999.9,QA,17.1
-9999.9,QA,12.4
-9999.9,QA,12.7
-9999.9,QA,18.1
-9999.9,QA,14.9
-9999.9,QA,16.0
-9999.9,QA,14.7
-9999.9,QA,17.8
-9999.9,QA,21.4
-9999.9,QA,22.2
-9999.9,QA,24.4
-9999.9,QA,16.0
-9999.9,QA,26.0
-9999.9,QA,25.3
-9999.9,QA,27.2
-9999.9,QA,30.2
-9999.9,QA,27.5
-9999.9,QA,24.5
-9999.9,QA,28.9
-9999.9,QA,33.7
-9999.9,QA,32.7
-9999.9,QA,32.8
-9999.9,QA,34.3
-9999.9,QA,38.8
-9999.9,QA,39.4
-9999.9,QA,32.7
-9999.9,QA,39.0
-9999.9,QA,39.4
-9999.9,QA,36.0
-9999.9,QA,37.0
-9999.9,QA,41.7
-9999.9,QA,39.8
-9999.9,QA,43.0
-9999.9,QA,50.4
-9999.9,QA,43.0
-9999.9,QA,46.8
-9999.9,QA,47.4
-9999.9,QA,47.1
-9999.9,QA,52.1
-9999.9,QA,51.4
-9999.9,QA,52.9
-9999.9,QA,51.6
-9999.9,QA,55.0
-9999.9,QA,52.2
-9999.9,QA,58.7
-9999.9,QA,57.1
-9999.9,QA,55.8
-9999.9,QA,61.7
-9999.9,QA,59.7
-9999.9,QA,48.4
-9999.9,QA,62.3
-9999.9,QA,62.0
-9999.9,QA,68.3
-9999.9,QA,65.6
-9999.9,QA,67.1
-9999.9,QA,64.7
-9999.9,QA,68.4
-9999.9,QA,69.9
-9999.9,QA,73.3
-9999.9,QA,67.7
-9999.9,QA,74.4
-9999.9,QA,74.7
-9999.9,QA,71.3
-9999.9,QA,78.0
-9999.9,QA,75.1
-9999.9,QA,77.9
-9999.9,QA,79.2
-9999.9,QA,83.3
-9999.9,QA,80.3
-9999.9,QA,77.6
-9999.9,QA,79.1
-9999.9,QA,88.1
-9999.9,QA,82.3
-9999.9,QA,78.4
-9999.9,QA,86.6
-9999.9,QA,81.9
-9999.9,QA,79.2
-9999.9,QA,89.1
-9999.9,QA,92.3
-9999.9,QA,89.7
-9999.9,QA,94.6
-9999.9,QA,96.1
-9999.9,QA,88.8
-9999.9,QA,97.4
-9999.9,QA,94.4
-9999.9,QA,98.5
-9999.9,QA,95.1
-9999.9,QA,98.4
-9999.9,QA,98.8
-9999.9,QA,98.4
-9999.9,QA,102.6
-9999.9,QA,102.4
-9999.9,QA,97.3
-9999.9,QA,96.5
-9999.9,QA,104.9
-9999.9,QA,145.0
-9999.9,QA,158.2
-9999.9,QA,176.5
-9999.9,QA,199.0
-9999.9,QA,212.7
-9999.9,QA,227.6
-9999.9,QA,244.3
-9999.9,QA,263.2
-9999.9,QA,285.3
