lat,long,corrected_magnetic
37.0288,-113.3289,110.0
37.0289,-113.3294,107.2
37.0289,-113.3299,110.3
37.0289,-113.3304,106.9
37.0289,-113.3309,113.5
37.0289,-113.3314,104.7
37.0289,-113.3319,107.6
37.0289,-113.3324,108.1
37.0289,-113.3328,111.5
37.0289,-113.3333,107.3
37.0289,-113.3338,107.9
37.0289,-113.3343,98.9
37.0289,-113.3348,110.3
37.029,-113.3353,99.6
37.029,-113.3358,101.5
37.029,-113.3363,106.0
37.029,-113.3367,100.0
37.029,-113.3372,106.5
37.029,-113.3377,100.8
37.029,-113.3382,104.5
37.029,-113.3387,95.9
37.029,-113.3392,99.3
37.029,-113.3397,103.1
37.029,-113.3402,101.0
37.0291,-113.3406,94.7
37.0291,-113.3411,106.5
37.0291,-113.3416,102.6
37.0291,-113.3421,101.8
37.0291,-113.3426,103.5
37.0291,-113.3431,97.5
37.0291,-113.3436,99.2
37.0291,-113.3441,99.4
37.0291,-113.3445,101.4
37.0291,-113.345,99.0
37.0291,-113.3455,94.8
37.0292,-113.346,103.9
37.0292,-113.3465,93.1
37.0292,-113.347,101.1
37.0292,-113.3475,96.6
37.0292,-113.348,105.5
37.0292,-113.3484,104.5
37.0292,-113.3489,97.4
37.0292,-113.3494,99.3
37.0292,-113.3499,99.9
37.0292,-113.3504,101.6
37.0292,-113.3509,99.8
37.0292,-113.3514,97.6
37.0293,-113.3519,100.6
37.0293,-113.3523,103.0
37.0293,-113.3528,98.5
37.0293,-113.3533,97.0
37.0293,-113.3538,91.4
37.0293,-113.3543,97.1
37.0293,-113.3548,98.7
37.0293,-113.3553,98.7
37.0293,-113.3558,98.8
37.0293,-113.3562,94.9
37.0293,-113.3567,95.2
37.0294,-113.3572,96.1
37.0294,-113.3577,95.2
37.0294,-113.3582,92.2
37.0294,-113.3587,90.9
37.0294,-113.3592,94.2
37.0294,-113.3597,86.0
37.0294,-113.3601,91.1
37.0294,-113.3606,92.5
37.0294,-113.3611,93.8
37.0294,-113.3616,89.7
37.0294,-113.3621,87.1
37.0294,-113.3626,84.0
37.0295,-113.3631,86.3
37.0295,-113.3636,88.0
37.0295,-113.364,84.7
37.0295,-113.3645,82.4
37.0295,-113.365,84.5
37.0295,-113.3655,84.5
37.0295,-113.366,84.7
37.0295,-113.3665,77.7
37.0295,-113.367,77.5
37.0295,-113.3675,82.6
37.0295,-113.3679,80.3
37.0296,-113.3684,80.5
37.0296,-113.3689,72.0
37.0296,-113.3694,74.2
37.0296,-113.3699,82.0
37.0296,-113.3704,77.1
37.0296,-113.3709,76.9
37.0296,-113.3714,78.5
37.0296,-113.3718,77.6
37.0296,-113.3723,78.6
37.0296,-113.3728,73.4
37.0296,-113.3733,70.0
37.0297,-113.3738,74.8
37.0297,-113.3743,76.0
37.0297,-113.3748,74.1
37.0297,-113.3753,63.8
37.0297,-113.3757,63.7
37.0297,-113.3762,71.6
37.0297,-113.3767,70.8
37.0297,-113.3772,65.5
37.0297,-113.3777,59.6
37.0297,-113.3782,62.0
37.0297,-113.3787,66.2
37.0297,-113.3792,56.3
37.0298,-113.3796,57.6
37.0298,-113.3801,58.5
37.0298,-113.3806,58.8
37.0298,-113.3811,59.7
37.0298,-113.3816,55.3
37.0298,-113.3821,57.7
37.0298,-113.3826,56.2
37.0298,-113.3831,53.6
37.0298,-113.3835,51.8
37.0298,-113.384,52.7
37.0298,-113.3845,60.8
37.0299,-113.385,48.3
37.0299,-113.3855,55.3
37.0299,-113.386,48.4
37.0299,-113.3865,46.6
37.0299,-113.387,41.4
37.0299,-113.3874,38.5
37.0299,-113.3879,48.6
37.0299,-113.3884,47.2
37.0299,-113.3889,45.5
37.0299,-113.3894,36.9
37.0299,-113.3899,35.5
37.0299,-113.3904,35.5
37.03,-113.3909,38.5
37.03,-113.3913,33.0
37.03,-113.3918,32.8
37.03,-113.3923,38.1
37.03,-113.3928,35.2
37.03,-113.3933,38.2
37.03,-113.3938,33.5
37.03,-113.3943,31.5
37.03,-113.3948,33.5
37.03,-113.3952,28.9
37.03,-113.3957,27.3
37.0301,-113.3962,28.8
37.0301,-113.3967,27.4
37.0301,-113.3972,28.1
37.0301,-113.3977,25.6
37.0301,-113.3982,23.6
37.0301,-113.3987,16.5
37.0301,-113.3991,25.2
37.0301,-113.3996,18.8
37.0301,-113.4001,18.2
37.0301,-113.4006,15.9
37.0301,-113.4011,16.9
37.0301,-113.4016,19.1
37.0302,-113.4021,14.7
37.0302,-113.4026,13.1
37.0302,-113.403,13.9
37.0302,-113.4035,20.8
37.0302,-113.404,7.7
