lat,long,corrected_magnetic
38.0292,-112.7711,197.8
38.0292,-112.7716,179.0
38.0293,-112.7722,157.8
38.0293,-112.7727,133.6
38.0294,-112.7733,106.0
38.0294,-112.7738,76.2
38.0294,-112.7744,43.1
38.0295,-112.7749,5.8
38.0295,-112.7755,-33.1
38.0295,-112.776,-74.2
38.0296,-112.7766,-118.6
38.0296,-112.7771,-166.3
38.0296,-112.7777,-216.1
38.0297,-112.7782,-268.9
38.0297,-112.7788,-321.5
38.0298,-112.7793,-376.3
38.0298,-112.7799,-432.9
38.0298,-112.7804,-491.1
38.0299,-112.781,-548.3
38.0299,-112.7815,-607.9
38.0299,-112.7821,-657.7
38.03,-112.7827,-704.8
38.03,-112.7832,-742.2
38.0301,-112.7838,-770.2
38.0301,-112.7843,-782.5
38.0301,-112.7849,-784.1
38.0302,-112.7854,-779.5
38.0302,-112.786,-752.7
38.0302,-112.7865,-714.2
38.0303,-112.7871,-672.2
38.0303,-112.7876,-623.8
38.0303,-112.7882,-572.9
38.0304,-112.7887,-524.9
38.0304,-112.7893,-477.6
38.0305,-112.7898,-436.8
38.0305,-112.7904,-405.5
38.0305,-112.7909,-363.8
38.0306,-112.7915,-335.0
38.0306,-112.792,-316.7
38.0306,-112.7926,-293.4
38.0307,-112.7931,-283.1
38.0307,-112.7937,-264.8
38.0308,-112.7942,-249.9
38.0308,-112.7948,-238.4
38.0308,-112.7953,-227.2
38.0309,-112.7959,-218.2
38.0309,-112.7964,-203.0
38.0309,-112.797,-179.4
38.031,-112.7975,-148.3
38.031,-112.7981,-111.0
38.031,-112.7986,-66.3
38.0311,-112.7992,-17.3
38.0311,-112.7997,22.9
38.0312,-112.8003,61.8
38.0312,-112.8008,89.1
38.0312,-112.8014,120.7
38.0313,-112.8019,135.8
38.0313,-112.8025,157.2
38.0313,-112.803,172.1
38.0314,-112.8036,178.9
38.0314,-112.8041,187.6
38.0315,-112.8047,206.8
38.0315,-112.8053,225.9
38.0315,-112.8058,246.1
38.0316,-112.8064,270.8
38.0316,-112.8069,291.8
38.0316,-112.8075,306.3
38.0317,-112.808,313.5
38.0317,-112.8086,315.9
38.0317,-112.8091,311.9
38.0318,-112.8097,302.3
38.0318,-112.8102,291.1
38.0319,-112.8108,274.4
38.0319,-112.8113,255.5
38.0319,-112.8119,234.4
38.032,-112.8124,193.4
38.032,-112.813,155.9
38.032,-112.8135,116.8
38.0321,-112.8141,83.7
38.0321,-112.8146,67.4
38.0321,-112.8152,48.6
38.0322,-112.8157,33.4
38.0322,-112.8163,19.0
38.0323,-112.8168,-0.9
38.0323,-112.8174,-17.0
38.0323,-112.8179,-32.9
38.0324,-112.8185,-34.8
38.0324,-112.819,-25.2
38.0324,-112.8196,-16.3
38.0325,-112.8201,-20.0
38.0325,-112.8207,-43.8
38.0326,-112.8212,-86.8
38.0326,-112.8218,-131.4
38.0326,-112.8223,-174.8
38.0327,-112.8229,-209.6
38.0327,-112.8234,-228.4
38.0327,-112.824,-229.5
